site,category
site                                                                                                                                                                                                    ,category                                                                                                                                                                                                
hp.com                                                                                                                                                                                                  ,Computer_and_Electronics/Consumer_Electronics                                                                                                                                                           
filmweb.pl                                                                                                                                                                                              ,Arts_and_Entertainment/Movies                                                                                                                                                                           
chip.de                                                                                                                                                                                                 ,Computer_and_Electronics                                                                                                                                                                                
tracfone.com                                                                                                                                                                                            ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
gazeta.ru                                                                                                                                                                                               ,News_and_Media/Newspapers                                                                                                                                                                               
kenh14.vn                                                                                                                                                                                               ,News_and_Media                                                                                                                                                                                          
quizlet.com                                                                                                                                                                                             ,Career_and_Education                                                                                                                                                                                    
bloomberg.com                                                                                                                                                                                           ,News_and_Media/Business_News                                                                                                                                                                            
unidingcom.com                                                                                                                                                                                          ,
scribd.com                                                                                                                                                                                              ,Books_and_Literature                                                                                                                                                                                    
qu.la                                                                                                                                                                                                   ,
4399.com                                                                                                                                                                                                ,Games/Video_Games                                                                                                                                                                                       
shutterstock.com                                                                                                                                                                                        ,Arts_and_Entertainment/Photography                                                                                                                                                                      
mangago.me                                                                                                                                                                                              ,Arts_and_Entertainment/Animation_and_Comics                                                                                                                                                             
slack.com                                                                                                                                                                                               ,Internet_and_Telecom                                                                                                                                                                                    
youdao.com                                                                                                                                                                                              ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
luoqiu.com                                                                                                                                                                                              ,Arts_and_Entertainment                                                                                                                                                                                  
google.com.pr                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
sharepoint.com                                                                                                                                                                                          ,Computer_and_Electronics                                                                                                                                                                                
bancoestado.cl                                                                                                                                                                                          ,Finance/Financial_Management                                                                                                                                                                            
cda.pl                                                                                                                                                                                                  ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
citi.com                                                                                                                                                                                                ,Finance/Banking                                                                                                                                                                                         
android.com                                                                                                                                                                                             ,Computer_and_Electronics                                                                                                                                                                                
news.livedoor.com                                                                                                                                                                                       ,News_and_Media                                                                                                                                                                                          
gameforge.com                                                                                                                                                                                           ,Games                                                                                                                                                                                                   
hclips.com                                                                                                                                                                                              ,Adult                                                                                                                                                                                                   
quizzstar.com                                                                                                                                                                                           ,Adult                                                                                                                                                                                                   
snapdeal.com                                                                                                                                                                                            ,Shopping                                                                                                                                                                                                
hitomi.la                                                                                                                                                                                               ,Adult                                                                                                                                                                                                   
love.mail.ru                                                                                                                                                                                            ,People_and_Society/Relationships_and_Dating                                                                                                                                                             
